item_category,item_condition,item_postcode,item_available_timer,distance,n_views,n_likes,item_available
other,poor,10317,46,13064,594,100,1
kitchen_utensils,like_new,10435,64,15040,1321,198,0
kitchen_utensils,like_new,12055,33,14136,1731,242,0
kids,poor,13347,30,2152,1760,52,1
kids,like_new,12359,49,14774,1499,104,1
other,good,13086,7,3074,1343,174,0
other,good,13357,50,8908,1458,43,0
clothes,acceptable,13189,2,14472,1024,102,1
kitchen_utensils,like_new,13187,71,29533,225,33,1
kids,like_new,13587,50,19843,967,38,1
kids,acceptable,12167,57,27888,124,17,1
kids,poor,14109,57,30144,1246,224,0
kitchen_utensils,good,10557,94,22354,1081,43,1
furniture,acceptable,10711,26,25259,1624,211,0
furniture,poor,13351,97,28025,1509,196,0
other,poor,10627,24,25825,849,0,0
kitchen_utensils,acceptable,12159,19,802,1041,10,0
other,like_new,14199,11,17608,482,67,0
kitchen_utensils,acceptable,10965,65,26625,1474,206,1
kids,good,10707,50,15838,807,8,0
furniture,like_new,10553,60,11827,110,15,0
kids,acceptable,10625,7,6315,189,24,0
kitchen_utensils,acceptable,12043,37,26766,404,40,0
furniture,acceptable,10247,11,22732,1675,134,1
furniture,acceptable,13407,71,18205,1823,291,1
other,acceptable,12167,35,4710,499,4,1
kitchen_utensils,acceptable,13159,49,10132,85,16,0
kids,acceptable,14197,61,5196,1473,235,0
other,acceptable,12107,31,23864,1170,58,1
other,acceptable,10179,71,396,1909,114,0
other,like_new,14199,66,18626,427,64,1
furniture,like_new,12559,25,31639,1803,288,1
kitchen_utensils,acceptable,13589,47,8147,1697,203,1
clothes,acceptable,14109,95,13485,1117,156,0
kitchen_utensils,good,12627,10,19231,1458,247,0
kitchen_utensils,poor,10249,83,2332,1734,329,0
clothes,acceptable,10557,94,29169,20,1,1
other,acceptable,13159,83,10297,1541,15,0
kids,good,10315,7,8173,649,45,0
kids,poor,12524,58,28580,1337,200,0
clothes,acceptable,12057,89,26850,1715,274,0
clothes,acceptable,13057,97,21643,110,6,0
kitchen_utensils,poor,14129,62,27978,1668,200,1
other,acceptable,10707,52,8117,761,45,1
other,good,10829,53,10284,169,18,1
clothes,acceptable,12619,8,16488,35,1,0
kids,good,10789,65,27958,729,131,0
kitchen_utensils,like_new,10318,99,6673,684,47,0
clothes,like_new,10589,29,16112,673,100,1
clothes,like_new,10961,69,12413,1085,108,0
other,like_new,10315,6,4919,1235,135,1
other,like_new,14129,75,8285,564,95,1
clothes,acceptable,10711,16,17514,1605,48,0
clothes,poor,14167,61,16116,521,72,1
kitchen_utensils,poor,10625,96,2364,571,22,1
clothes,acceptable,13437,8,25763,800,32,0
furniture,like_new,12045,63,18185,1173,105,0
kids,like_new,12157,68,22987,382,64,0
other,like_new,10713,29,1599,1697,67,0
other,poor,13089,59,28681,592,23,1
other,poor,12587,34,1947,319,51,1
kitchen_utensils,like_new,10787,6,10620,326,45,1
kids,acceptable,10719,37,13044,393,15,0
kitchen_utensils,like_new,10825,21,17329,1984,59,1
furniture,like_new,12355,53,6202,1934,77,1
kids,like_new,14059,65,10692,1563,46,0
other,acceptable,10967,79,13462,1258,138,0
clothes,poor,12305,58,5859,1216,60,0
other,poor,13583,92,27314,1457,203,0
other,good,10823,15,17921,1973,39,1
furniture,good,13359,76,19322,1429,171,1
furniture,acceptable,14163,44,23373,899,152,0
furniture,poor,10785,13,16280,1387,110,1
kids,poor,10179,7,1472,572,74,0
kitchen_utensils,acceptable,10557,32,4358,717,57,0
kids,good,13405,34,3366,1178,0,0
furniture,acceptable,12355,45,24473,1725,86,0
clothes,poor,10243,96,17170,1070,149,0
other,poor,12157,15,22789,320,32,0
kids,acceptable,13351,69,1142,1224,134,0
kitchen_utensils,like_new,14050,3,15501,1706,102,0
other,good,14199,22,17329,800,0,1
kitchen_utensils,poor,12059,26,27800,862,77,1
clothes,like_new,13597,33,30633,528,15,1
clothes,like_new,14053,99,31902,111,9,1
other,good,10557,92,10754,1042,104,1
clothes,poor,12353,79,15758,991,138,0
kids,acceptable,10437,65,11356,1883,244,1
furniture,acceptable,10709,94,31872,1043,73,1
kitchen_utensils,good,10779,84,24571,157,0,0
clothes,good,10435,28,17212,1706,85,0
clothes,acceptable,10555,61,26686,307,0,0
clothes,good,13593,1,28333,1893,151,1
furniture,like_new,14050,45,29222,89,6,0
furniture,poor,14050,9,19312,1485,207,1
furniture,good,12057,25,21205,764,68,1
furniture,good,10779,13,26532,1086,97,1
other,acceptable,13057,81,5555,1417,240,0
kitchen_utensils,acceptable,10439,89,20449,1143,160,0
kids,good,13597,3,31535,732,14,1
kids,like_new,10715,17,19605,1075,193,0
clothes,like_new,10365,7,11765,1079,53,1
other,like_new,12057,55,28070,1372,0,0
kids,like_new,13055,44,26927,1275,178,0
furniture,good,14050,32,2980,1416,127,0
kitchen_utensils,good,12623,5,4183,1786,250,1
kids,poor,10587,72,21859,489,24,1
kids,good,13585,95,7944,710,71,1
clothes,poor,13351,90,31589,1678,33,1
clothes,like_new,13189,24,9593,504,50,0
clothes,good,10717,87,15120,1242,86,1
kitchen_utensils,poor,12487,81,31125,1715,240,1
kitchen_utensils,good,10715,30,12167,1071,203,0
clothes,good,10318,89,30262,73,5,0
kitchen_utensils,poor,13129,88,27046,566,33,0
kids,acceptable,13159,10,23407,210,16,0
kitchen_utensils,poor,10585,12,21763,861,25,0
clothes,acceptable,12047,95,9641,627,25,1
kids,good,14163,72,19905,1058,126,1
other,like_new,12055,6,10640,174,8,1
other,like_new,10719,92,18563,938,168,0
kitchen_utensils,poor,10405,17,16199,200,32,0
furniture,good,12526,59,803,1168,186,0
other,poor,12559,53,22092,1204,12,1
furniture,poor,14057,38,7747,665,19,0
clothes,poor,10315,84,14159,1952,58,1
other,acceptable,12559,4,19231,1672,250,0
furniture,like_new,10557,97,9957,594,47,1
kitchen_utensils,good,10315,18,26694,468,51,0
other,poor,12683,60,8645,1168,175,1
other,acceptable,12629,86,14547,210,0,0
kitchen_utensils,good,12527,43,30192,1352,54,1
other,good,13437,24,22539,222,2,1
kids,like_new,13593,85,6999,275,22,1
other,good,13583,9,941,182,27,0
clothes,poor,10553,26,6641,282,28,0
kids,acceptable,12359,13,12783,1636,32,0
furniture,acceptable,12489,41,4726,1611,32,1
kids,like_new,12055,32,2166,617,30,0
clothes,like_new,13403,7,13933,1160,116,1
kitchen_utensils,good,13599,85,7593,1929,327,0
furniture,acceptable,10787,59,6559,1843,184,0
kids,acceptable,13349,15,28487,1899,265,0
kitchen_utensils,acceptable,10551,35,8305,1206,108,1
other,poor,12349,18,31850,636,108,1
other,acceptable,10318,66,21709,1801,216,1
kids,like_new,12165,10,18428,6,0,1
other,like_new,13089,79,11261,1235,123,1
furniture,like_new,13353,93,14202,648,58,0
furniture,poor,12047,67,21139,379,18,1
kitchen_utensils,like_new,13591,55,7605,1946,116,0
kitchen_utensils,poor,12357,19,22576,712,92,0
kitchen_utensils,poor,12347,32,17266,1819,163,0
kitchen_utensils,poor,12489,84,14525,1637,261,0
other,like_new,14050,26,19053,1808,307,1
kitchen_utensils,good,13086,20,10921,1459,204,1
furniture,acceptable,10587,59,25773,793,55,1
furniture,good,12359,56,23251,986,187,0
other,like_new,13629,18,2975,1414,70,1
other,good,12161,28,7975,326,58,1
clothes,like_new,10119,92,31365,1716,223,1
other,acceptable,10785,66,27932,1589,127,1
kids,acceptable,12055,87,10767,1624,146,0
clothes,good,13593,15,10393,1210,108,0
furniture,poor,12524,10,28908,1956,176,0
kitchen_utensils,poor,13587,73,5090,591,65,1
kids,poor,12055,37,4916,163,19,0
kitchen_utensils,good,10713,38,4952,376,52,1
kitchen_utensils,like_new,10623,45,2543,1966,216,1
clothes,good,13156,68,14938,242,4,0
furniture,acceptable,13353,14,24789,1168,175,1
other,poor,13405,16,31572,481,81,0
other,poor,13593,75,13004,1601,272,0
kids,acceptable,14052,47,6362,1324,39,0
kitchen_utensils,good,10249,20,25630,766,130,1
clothes,acceptable,13407,24,21068,655,26,1
other,acceptable,12109,91,8894,171,6,1
clothes,poor,12103,69,25157,1138,159,0
clothes,like_new,10707,10,30908,243,17,1
other,good,12103,97,5749,322,61,1
clothes,good,13509,27,19334,1368,68,0
kitchen_utensils,acceptable,10551,16,3738,1274,0,0
furniture,good,13357,86,18366,80,7,0
kids,acceptable,12247,38,23951,872,165,0
furniture,like_new,12053,69,9854,205,34,0
furniture,good,12157,1,21265,1149,11,0
furniture,acceptable,13599,5,27566,546,27,0
kitchen_utensils,like_new,14167,6,14803,1648,181,0
clothes,good,13589,44,9634,200,36,0
kitchen_utensils,poor,12353,31,15734,536,85,0
furniture,acceptable,14057,33,2353,1578,220,1
kitchen_utensils,good,10249,5,19091,1028,82,1
other,like_new,10627,17,28248,52,7,0
clothes,acceptable,14050,23,14805,467,46,1
kids,like_new,10825,33,10749,885,141,1
kitchen_utensils,good,13593,49,593,655,111,1
clothes,poor,14165,25,8349,656,13,0
kids,poor,12487,12,16704,282,16,0
clothes,acceptable,12623,3,17672,1804,0,0
kids,good,13509,40,16982,1017,50,1
clothes,poor,10715,1,9102,1466,190,1
kitchen_utensils,good,10319,81,31520,801,88,1
other,poor,10963,84,25090,1948,292,0
other,acceptable,12101,94,15880,1446,245,1
kitchen_utensils,like_new,10587,31,11468,27,0,0
furniture,good,10318,21,19109,1144,160,0
kitchen_utensils,like_new,10717,7,9178,1802,198,0
other,like_new,13349,89,28867,1463,29,0
kitchen_utensils,poor,10713,76,23459,782,54,1
kids,poor,13353,33,14390,138,5,1
kids,acceptable,10119,84,12795,1769,194,1
furniture,like_new,13051,94,17518,14,2,0
kitchen_utensils,like_new,10585,58,3484,1155,69,1
other,poor,12679,46,31380,613,36,0
kitchen_utensils,acceptable,10317,49,4265,206,20,1
clothes,good,12353,42,1396,859,77,0
kids,like_new,12043,87,26796,723,43,0
clothes,good,10777,77,31426,1170,152,1
other,acceptable,10961,89,28769,794,71,1
other,like_new,10719,18,8297,1980,138,0
kids,poor,10367,4,6142,1432,128,1
kids,like_new,13349,56,18795,1646,263,0
clothes,like_new,12587,29,31939,614,0,1
kids,poor,12059,62,5755,1179,212,1
kids,good,13129,43,6962,1396,111,1
clothes,poor,12679,8,4917,1380,234,0
kitchen_utensils,acceptable,10409,62,26833,949,104,1
clothes,good,13407,26,22087,1570,298,0
other,poor,10777,75,12374,190,3,0
furniture,good,13159,86,2806,1151,161,0
other,acceptable,10969,65,17915,336,16,0
other,like_new,13127,26,6203,682,102,0
clothes,poor,13055,22,3963,1020,132,0
other,good,14059,51,1455,351,35,1
furniture,acceptable,14163,85,22816,436,0,1
furniture,poor,10783,47,10330,1996,219,0
kids,poor,12557,9,7159,76,2,1
other,like_new,12059,30,27170,1203,60,1
kids,poor,12209,79,13058,1820,109,0
kitchen_utensils,poor,13349,13,6611,1734,121,0
furniture,good,10965,81,23731,1287,90,0
clothes,good,10179,66,12860,1481,118,0
furniture,like_new,12357,40,13823,536,32,0
clothes,like_new,13589,89,28002,1099,120,1
furniture,acceptable,10367,11,12151,1672,183,1
furniture,good,13465,59,7246,727,101,0
furniture,acceptable,10369,17,5665,1562,109,0
clothes,good,14089,59,404,1817,308,1
clothes,poor,13349,99,3880,1816,217,0
furniture,like_new,12165,60,9588,969,155,0
other,poor,12359,34,16547,557,44,0
kitchen_utensils,poor,10179,22,30696,157,20,1
clothes,poor,12107,89,26330,1274,63,0
clothes,acceptable,14167,97,47,715,85,1
other,acceptable,13583,25,28690,649,12,1
furniture,good,13469,36,13386,1976,296,1
other,good,12459,43,27723,288,20,1
kids,acceptable,13581,69,7026,871,43,1
kitchen_utensils,acceptable,10555,47,7656,568,39,0
kids,good,12355,17,20054,147,8,1
other,good,12627,49,9300,578,63,1
furniture,poor,10178,4,5976,76,5,0
clothes,acceptable,10963,90,14395,556,11,0
kids,like_new,12685,17,19197,1795,287,0
clothes,like_new,12169,51,7645,192,11,1
clothes,poor,12557,88,13063,1791,125,1
furniture,good,10827,56,27158,992,39,1
furniture,good,10119,84,8305,1906,76,0
furniture,like_new,14089,5,26006,1347,175,1
clothes,like_new,13589,44,30270,1828,18,1
kids,poor,12101,81,30535,2,0,0
furniture,like_new,10825,63,18794,1946,252,0
furniture,good,13407,4,16553,1143,102,0
furniture,poor,10709,41,3174,756,128,0
kids,acceptable,13055,16,28790,795,71,0
furniture,acceptable,12203,24,10409,279,5,0
kids,good,14053,10,7718,1456,87,0
clothes,poor,10629,36,4889,60,9,0
kitchen_utensils,like_new,12589,10,11712,215,25,0
kitchen_utensils,poor,13467,33,25702,1077,161,1
kitchen_utensils,good,14169,14,23042,641,57,0
other,like_new,13187,20,3426,1080,75,1
other,good,12053,66,11039,1862,55,0
furniture,acceptable,12167,48,15357,782,148,0
kitchen_utensils,poor,12307,28,10937,1738,260,1
kids,like_new,13086,67,222,1547,278,0
clothes,like_new,13349,83,31467,1514,272,0
kitchen_utensils,good,13507,32,19702,1659,282,0
kitchen_utensils,poor,13627,91,2192,479,28,0
furniture,acceptable,12685,33,2005,1340,201,0
kids,like_new,13156,47,15848,0,0,0
furniture,poor,13349,78,26177,1019,173,0
kitchen_utensils,good,12203,38,19672,388,65,1
other,poor,13589,14,278,1828,237,1
clothes,poor,10713,53,31339,965,164,0
clothes,acceptable,12279,77,24601,535,101,0
clothes,poor,12059,60,22938,337,20,0
kitchen_utensils,good,12105,79,28774,1688,50,0
clothes,like_new,13127,24,27499,1459,248,1
clothes,good,10707,7,12751,336,23,0
kids,like_new,13059,17,9687,958,172,1
furniture,acceptable,13403,12,4490,1538,215,1
clothes,like_new,12053,43,31081,151,13,0
kids,acceptable,10407,85,871,1561,78,0
other,like_new,10623,28,1873,1794,269,0
furniture,good,12103,42,1718,1905,304,1
other,poor,14197,6,26961,1559,265,0
kids,good,10709,20,3795,1793,322,0
other,good,12347,21,21915,799,23,0
other,acceptable,12351,43,15775,535,42,1
clothes,good,12205,22,9216,1929,135,0
kitchen_utensils,like_new,12627,84,3170,870,113,1
clothes,good,10437,33,26143,1798,305,0
kids,good,10557,22,19496,317,34,1
kitchen_utensils,poor,10715,8,16457,1669,283,0
kitchen_utensils,like_new,12489,3,7218,20,0,1
kitchen_utensils,like_new,14169,72,1438,98,15,0
other,poor,12099,58,15364,7,0,1
other,poor,14165,62,25342,1604,240,1
other,like_new,13403,25,27013,1369,0,1
kids,like_new,13405,11,30541,568,73,1
kitchen_utensils,poor,12347,17,19302,1445,86,0
kitchen_utensils,like_new,10405,87,12302,1648,214,1
clothes,acceptable,14197,41,4616,1684,0,1
kitchen_utensils,like_new,10969,85,6586,1417,255,0
clothes,acceptable,10623,19,21353,77,10,0
furniture,poor,12587,45,23579,746,67,1
clothes,good,12277,39,2337,986,78,1
other,poor,14055,89,160,701,42,1
clothes,poor,13585,49,9921,1105,110,1
kitchen_utensils,like_new,10717,14,7711,1919,115,0
kitchen_utensils,acceptable,13357,84,5889,116,9,1
other,acceptable,10585,61,19478,1070,42,1
other,acceptable,14057,99,31468,1647,181,0
kitchen_utensils,good,13595,52,14296,1293,219,0
kids,like_new,12161,43,29560,1431,228,1
clothes,good,13088,95,19021,1074,0,1
furniture,good,12557,39,15849,1479,14,0
kids,like_new,10587,98,30517,1268,190,0
kitchen_utensils,good,10243,61,12429,1022,173,1
kitchen_utensils,acceptable,12103,7,21573,1029,102,0
other,like_new,10247,41,27633,1825,328,0
other,acceptable,10969,15,3409,1066,159,1
furniture,acceptable,12587,41,25896,1641,229,0
furniture,good,14193,28,18985,1244,236,1
kitchen_utensils,like_new,10551,36,8593,1483,177,0
kids,like_new,13158,8,19376,1566,46,0
kids,like_new,12309,10,16997,1698,118,0
kitchen_utensils,like_new,12526,87,18285,925,64,1
clothes,good,10719,47,7543,1967,78,1
other,acceptable,10557,97,364,668,26,0
other,acceptable,13465,46,22307,2000,140,0
other,acceptable,10829,29,6073,526,47,0
other,good,12587,89,711,215,15,1
clothes,good,10785,67,31995,916,146,0
kitchen_utensils,poor,12621,23,1661,1069,106,0
clothes,acceptable,10629,31,26812,1027,0,1
kids,good,12277,87,23630,1208,12,1
kitchen_utensils,poor,14129,50,10422,1597,79,0
furniture,like_new,12059,36,21151,918,9,1
furniture,like_new,12163,19,6756,1078,43,0
clothes,good,10315,51,11457,312,31,0
clothes,good,12249,75,9805,1306,156,1
furniture,good,12347,26,5705,1434,86,0
kids,like_new,12629,52,11033,1353,0,0
clothes,good,14057,12,9741,1845,36,0
furniture,poor,12051,86,23545,1444,115,1
other,good,13057,55,8761,857,111,0
clothes,good,10627,10,21806,738,81,1
kitchen_utensils,acceptable,13055,1,18647,1145,217,1
clothes,good,14165,94,21519,937,131,0
clothes,like_new,10405,13,20540,811,24,1
furniture,acceptable,12489,58,14538,1381,124,0
kids,like_new,13507,26,20297,91,0,0
kitchen_utensils,poor,12349,55,2318,1425,28,0
other,good,13597,8,6389,1446,144,1
kitchen_utensils,poor,13086,0,15108,1008,171,1
kitchen_utensils,poor,10367,20,28629,1770,318,0
kitchen_utensils,poor,13353,34,1078,878,131,0
clothes,poor,12169,46,23231,1028,113,1
kids,good,13587,84,16444,89,4,0
kitchen_utensils,like_new,13505,82,9674,711,14,1
furniture,acceptable,10783,86,10828,1812,36,1
kids,good,10785,96,25452,290,37,0
kids,like_new,14050,95,3706,423,12,1
kitchen_utensils,poor,12437,99,7706,347,6,1
clothes,poor,13053,78,15651,372,44,1
kids,like_new,12439,71,27960,328,3,0
kids,poor,13505,81,5847,1812,163,1
clothes,good,12163,75,12262,1715,291,0
other,acceptable,13439,47,19258,850,144,0
other,poor,12685,59,16983,102,19,1
clothes,good,13127,82,7561,247,17,0
other,poor,13599,79,17091,700,56,0
clothes,good,12683,29,21028,1457,72,0
kids,good,10317,90,4394,664,6,0
furniture,like_new,12555,66,28347,1021,10,1
clothes,acceptable,12049,83,27882,733,139,1
furniture,good,13059,30,16761,457,45,0
furniture,like_new,13059,76,29245,1427,156,0
other,poor,13353,50,31831,967,87,0
other,good,12627,56,21263,1494,0,1
clothes,like_new,10179,93,22510,1674,284,0
kitchen_utensils,acceptable,13629,20,22304,640,89,1
other,poor,10587,16,15152,286,31,1
kids,good,12161,29,11126,1858,278,1
other,acceptable,12627,82,21037,164,24,1
kitchen_utensils,good,12169,98,12587,775,69,1
other,like_new,12165,82,15738,1470,14,0
furniture,poor,13439,10,2393,961,96,1
kids,good,10829,77,29551,928,139,1
clothes,poor,14193,93,3951,219,15,1
kids,poor,12209,7,18215,1347,107,1
kids,acceptable,10719,78,15824,359,3,0
kids,acceptable,13347,80,3268,1661,298,1
clothes,poor,14197,37,30528,148,16,1
furniture,poor,13589,15,22034,1061,95,0
clothes,poor,13437,63,25391,460,0,0
kitchen_utensils,good,12277,99,7845,1834,220,1
kids,good,13055,24,6683,1230,12,0
clothes,acceptable,14050,25,21434,665,59,1
other,good,12589,85,22201,1419,70,0
clothes,acceptable,14057,69,31795,1484,207,1
furniture,poor,13127,64,3457,529,89,1
kitchen_utensils,poor,10369,82,27584,1334,186,0
furniture,like_new,12629,77,8300,688,116,0
other,like_new,13355,13,9340,689,103,0
clothes,acceptable,13629,64,4097,1460,277,1
kids,like_new,14089,12,11936,690,55,1
kids,acceptable,13589,39,12486,1498,254,1
clothes,acceptable,13439,19,18567,1325,159,1
other,acceptable,14050,43,20650,893,71,0
kitchen_utensils,acceptable,10719,16,24562,958,95,1
clothes,good,12055,41,29335,656,111,0
clothes,poor,13349,43,27243,1774,70,1
clothes,poor,10789,77,1424,1217,36,1
kids,like_new,13059,74,19899,1678,117,1
kids,poor,12527,73,30789,840,50,1
furniture,poor,10365,46,7487,103,3,1
furniture,acceptable,12167,72,25705,422,12,0
other,like_new,12109,87,1363,1077,21,0
other,good,14059,68,30200,173,31,0
kitchen_utensils,good,13347,99,26280,1021,142,1
clothes,good,10717,72,17264,1525,183,0
clothes,good,13347,52,9589,434,73,0
furniture,like_new,14169,86,8689,1292,219,1
kitchen_utensils,good,12437,86,2166,1932,77,0
kitchen_utensils,like_new,12355,8,30370,1828,201,0
clothes,like_new,10717,80,13623,754,22,0
furniture,good,13051,35,19064,528,47,1
clothes,like_new,10409,57,17003,956,19,0
kids,poor,14059,90,30415,767,122,0
clothes,acceptable,10711,88,12863,168,3,1
clothes,poor,13159,82,11841,998,109,1
other,acceptable,10559,96,2749,882,123,1
kids,good,12349,42,27826,629,37,1
clothes,like_new,12309,60,22637,835,50,0
kitchen_utensils,poor,12055,77,26508,614,92,1
clothes,acceptable,14193,3,21654,1663,83,1
furniture,poor,13347,49,25160,381,68,0
kids,good,13589,85,22417,153,18,1
furniture,acceptable,14169,56,20659,282,53,0
furniture,good,12045,48,13165,1906,266,1
clothes,good,12209,58,8044,1628,276,1
kids,poor,10437,66,18106,546,5,1
other,good,13583,83,16560,191,1,0
furniture,good,10405,14,24372,1354,243,0
furniture,good,13509,89,8356,371,44,1
kids,like_new,12587,81,16385,277,0,0
furniture,acceptable,14050,63,13635,951,28,1
other,like_new,14055,63,30785,1763,141,0
kitchen_utensils,like_new,12357,35,4837,1319,171,0
furniture,like_new,13057,99,7841,371,55,0
other,like_new,12051,54,16325,1974,335,0
kids,good,12167,29,28358,90,7,0
furniture,poor,14195,20,28293,1971,39,0
other,good,13086,92,6298,1807,325,1
kids,poor,10777,31,8851,305,9,0
kitchen_utensils,good,13439,91,17297,574,91,1
furniture,like_new,14167,24,13496,543,38,0
kids,good,13158,17,5339,112,5,1
furniture,poor,14169,1,11258,1049,136,1
other,good,13355,8,23340,788,7,1
other,acceptable,10553,50,6651,338,10,0
clothes,poor,12357,29,30162,942,47,1
kids,acceptable,12051,38,25085,381,3,0
clothes,poor,14053,67,12673,591,94,1
clothes,acceptable,10965,77,8203,533,79,1
kitchen_utensils,poor,12169,67,12741,1675,217,1
kids,good,13347,85,29658,1394,209,1
kitchen_utensils,good,12357,30,25773,1133,147,1
kids,like_new,12435,7,24278,1400,266,1
kids,like_new,10719,30,17944,301,0,1
kitchen_utensils,like_new,10243,29,5253,7,0,0
kitchen_utensils,poor,12587,10,31851,1551,62,0
other,like_new,13581,59,7074,758,121,1
kids,good,12355,83,7770,1529,168,1
clothes,like_new,12351,17,3954,155,18,1
furniture,good,12159,85,20200,920,138,0
kitchen_utensils,good,12107,72,3808,135,5,1
furniture,poor,13357,40,26276,359,14,1
other,poor,12687,82,9022,176,17,1
kids,like_new,13469,90,25501,185,35,1
kitchen_utensils,like_new,14193,97,28993,1516,227,1
furniture,good,13591,82,10143,18,0,1
kitchen_utensils,acceptable,14059,1,21396,387,38,1
other,poor,13351,26,30429,687,68,0
furniture,poor,14089,64,16289,690,110,0
clothes,good,14059,48,690,1424,213,0
furniture,good,12527,2,1202,1898,284,1
clothes,good,10969,25,31351,946,66,1
other,like_new,10823,85,27930,1148,172,0
kids,like_new,13465,63,31520,1709,187,1
furniture,like_new,10317,37,4665,802,56,0
kids,like_new,13359,37,29266,1293,219,1
furniture,acceptable,12489,93,13836,1989,218,0
kitchen_utensils,good,12526,56,7515,902,162,0
other,acceptable,12487,68,23782,1942,116,0
other,acceptable,14109,20,12136,1488,44,1
kids,poor,12357,75,30885,1176,0,0
kitchen_utensils,poor,13509,89,15834,485,63,1
kids,good,14050,84,7773,1250,137,0
clothes,like_new,13599,65,18598,777,93,1
furniture,acceptable,13347,30,22979,228,4,0
other,acceptable,13353,30,10721,1410,0,1
kids,good,12689,9,27570,1243,12,0
kids,good,12629,4,20218,213,4,0
kids,good,10319,19,13111,963,144,1
furniture,acceptable,10585,67,27835,897,8,1
clothes,acceptable,10439,35,11063,296,23,0
other,like_new,12209,74,26446,727,79,0
clothes,like_new,12627,17,187,1606,16,1
clothes,good,12527,47,14566,1831,238,0
kids,good,10719,57,15816,1201,72,0
clothes,poor,13055,91,21016,802,136,0
clothes,acceptable,13507,82,12183,1850,18,1
furniture,acceptable,12309,90,13283,1962,0,1
kids,good,12101,78,15328,433,64,0
kids,acceptable,12681,39,16461,1890,226,1
other,acceptable,14052,17,5708,1817,308,1
kitchen_utensils,like_new,12203,62,26330,1852,296,1
kitchen_utensils,acceptable,10963,45,27974,270,16,0
clothes,good,13591,27,833,1806,36,1
clothes,acceptable,13088,8,31178,394,0,0
other,like_new,10709,24,28398,1820,309,0
kids,poor,13465,13,919,495,39,1
kids,good,10557,64,30550,1367,136,0
other,acceptable,14169,24,6834,389,11,0
kids,good,13189,28,11964,1501,210,0
kids,good,12439,17,19540,100,8,1
clothes,good,12305,34,31909,746,0,1
other,acceptable,10249,29,29335,1369,27,0
other,poor,12359,19,17609,296,38,0
clothes,good,12309,52,7226,1481,177,0
other,poor,13589,10,3968,1995,319,1
clothes,good,10829,31,13994,890,89,1
other,good,14129,47,7339,867,78,1
other,like_new,12169,76,407,343,61,0
kitchen_utensils,poor,14052,57,8039,1556,280,1
clothes,good,10829,86,24754,1268,12,0
furniture,acceptable,10777,20,15031,1033,82,1
kids,good,12435,94,878,1578,205,0
furniture,like_new,10789,19,28914,1483,0,0
clothes,poor,10827,89,19821,106,19,1
furniture,like_new,10623,37,26729,28,1,0
furniture,like_new,12209,44,10660,1133,56,1
kids,acceptable,10777,54,10093,1574,220,1
kitchen_utensils,like_new,14169,4,767,1714,274,0
furniture,good,14055,17,17672,1726,138,0
kids,acceptable,12555,38,4822,1448,43,0
other,like_new,13407,33,1681,1993,119,0
kids,like_new,13595,49,6104,597,41,1
clothes,good,12305,62,6272,791,55,1
furniture,poor,13627,20,9125,1941,368,0
clothes,poor,12045,75,31200,614,36,1
kitchen_utensils,good,13187,58,48,214,34,1
furniture,good,13405,26,14276,1569,203,0
clothes,acceptable,13129,71,4578,342,61,1
furniture,good,10623,98,26369,70,1,1
clothes,poor,12439,98,17316,1748,157,0
clothes,like_new,13509,46,25449,1774,17,1
kids,like_new,10318,58,24007,919,73,1
kids,acceptable,14165,73,442,1232,123,1
other,good,10179,86,16548,740,96,0
other,acceptable,10405,20,6663,404,44,0
furniture,good,13409,41,3847,1972,197,0
furniture,good,13159,18,8186,1311,170,1
kids,poor,10405,17,18004,1679,134,1
clothes,good,12059,85,19865,1607,144,1
furniture,good,10559,4,18473,346,65,0
kids,good,10623,0,21783,1339,53,0
kitchen_utensils,poor,13189,51,30045,997,189,1
other,like_new,10713,18,4462,1092,87,1
clothes,good,12047,31,30057,1592,286,0
other,like_new,10715,82,6336,121,8,0
kitchen_utensils,like_new,12687,19,4899,762,91,1
clothes,good,14052,47,8140,500,20,1
other,acceptable,12621,0,5446,389,42,0
other,acceptable,14195,45,11490,1918,364,1
kids,good,12047,66,28353,1851,0,1
furniture,acceptable,10999,46,1253,408,16,1
clothes,poor,12559,71,18351,489,44,1
kitchen_utensils,like_new,14052,2,14635,998,99,0
clothes,good,10965,25,23073,1,0,1
kids,good,13467,11,30164,1992,59,1
furniture,poor,12627,68,28962,1175,211,0
kids,acceptable,13627,4,2334,422,25,1
clothes,acceptable,13053,28,28309,1208,84,1
clothes,good,13627,4,23885,1021,91,1
kitchen_utensils,like_new,10623,77,2858,1674,16,1
furniture,good,12103,79,2703,1509,75,0
clothes,poor,10247,60,12368,1492,44,1
clothes,acceptable,13187,30,19899,1974,0,0
kids,like_new,10825,11,19363,1229,12,1
furniture,poor,13355,73,10290,1138,79,0
clothes,like_new,10967,35,24398,879,52,1
kitchen_utensils,good,13059,7,5246,575,17,1
kids,poor,13189,94,31419,740,66,1
kitchen_utensils,acceptable,12355,62,1123,1494,134,0
kitchen_utensils,good,13125,70,16822,227,15,0
kitchen_utensils,acceptable,10787,79,25920,1208,205,0
kitchen_utensils,acceptable,10315,14,7643,365,69,0
kids,poor,10555,96,8296,195,33,1
kitchen_utensils,poor,13187,95,14942,60,2,0
kids,good,12163,86,17782,1413,56,1
kitchen_utensils,good,13351,83,4772,1721,326,1
